company_id,type,country,authority,registration_number
1992800,"CompanyRegistrationNumber","United Kingdom","Companies House","06904509"
1190562,"CompanyRegistrationNumber","United Kingdom","Companies House","04757977"
2763738,"CompanyRegistrationNumber","United Kingdom","Companies House","07906431"
529722,"CompanyRegistrationNumber","United Kingdom","Companies House","01290558"
1216357,"CompanyRegistrationNumber","United Kingdom","Companies House","04844397"
13613219,"CompanyRegistrationNumber","United Kingdom","Companies House","08661572"
5003640,"CompanyRegistrationNumber","United Kingdom","Companies House","08366290"
1495123,"CompanyRegistrationNumber","United Kingdom","Companies House","05722824"
11686140,"CompanyRegistrationNumber","United Kingdom","Companies House","08472733"
4565007,"CompanyRegistrationNumber","United Kingdom","Companies House","08215135"
12384095,"CompanyRegistrationNumber","United Kingdom","Companies House","05124898"
2976307,"CompanyRegistrationNumber","United Kingdom","Companies House","NI010022"
13600775,"CompanyRegistrationNumber","United Kingdom","Companies House","08648729"
9590700,"CompanyRegistrationNumber","United Kingdom","Companies House","08418649"
618590,"CompanyRegistrationNumber","United Kingdom","Companies House","02064502"
2782933,"CompanyRegistrationNumber","United Kingdom","Companies House","07926981"
1843588,"CompanyRegistrationNumber","United Kingdom","Companies House","06613268"
883718,"CompanyRegistrationNumber","United Kingdom","Companies House","03643661"
79293,"CompanyRegistrationNumber","United Kingdom","Companies House","07336550"
3136365,"CompanyRegistrationNumber","United Kingdom","Companies House","SC321581"
1645952,"CompanyRegistrationNumber","United Kingdom","Companies House","06151778"
4983319,"CompanyRegistrationNumber","United Kingdom","Companies House","08345166"
1170329,"CompanyRegistrationNumber","United Kingdom","Companies House","04698224"
2942656,"CompanyRegistrationNumber","United Kingdom","Companies House","AC001082"
2452255,"CompanyRegistrationNumber","United Kingdom","Companies House","07567382"
2755257,"CompanyRegistrationNumber","United Kingdom","Companies House","07897263"
522934,"CompanyRegistrationNumber","United Kingdom","Companies House","01224463"
891505,"CompanyRegistrationNumber","United Kingdom","Companies House","03681791"
4999045,"CompanyRegistrationNumber","United Kingdom","Companies House","08361536"
13070593,"CharityRegistrationNumber","United Kingdom","Charity","1152319"
3016494,"CompanyRegistrationNumber","United Kingdom","Companies House","OC308650"
3644351,"CompanyRegistrationNumber","","","1041963"
3644351,"CompanyRegistrationNumber","United Kingdom","Companies House","02851307"
1718284,"CompanyRegistrationNumber","United Kingdom","Companies House","06338338"
3617113,"CompanyRegistrationNumber","","","HRB 7407"
3617113,"CompanyRegistrationNumber","United Kingdom","Companies House","02517146"
485755,"CompanyRegistrationNumber","United Kingdom","Companies House","00820551"
3110207,"CompanyRegistrationNumber","United Kingdom","Companies House","SC259340"
14448,"CompanyRegistrationNumber","United Kingdom","Companies House","07906308"
4349549,"CompanyRegistrationNumber","United Kingdom","Companies House","07160927"
4302570,"CompanyRegistrationNumber","United Kingdom","Companies House","08132360"
1048556,"CompanyRegistrationNumber","United Kingdom","Companies House","04325291"
3308720,"CompanyRegistrationNumber","United Kingdom","Companies House","06373459"
4214591,"CompanyRegistrationNumber","United Kingdom","Companies House","08120726"
632522,"CompanyRegistrationNumber","United Kingdom","Companies House","02172075"
2349196,"CompanyRegistrationNumber","United Kingdom","Companies House","07450142"
1344984,"CompanyRegistrationNumber","United Kingdom","Companies House","05263650"
4884773,"CompanyRegistrationNumber","United Kingdom","Companies House","08317279"
3648984,"CompanyRegistrationNumber","United Kingdom","Companies House","03245112"
3404323,"CompanyRegistrationNumber","United Kingdom","Companies House","06492941"
983852,"CompanyRegistrationNumber","United Kingdom","Companies House","04083050"
5995322,"CompanyRegistrationNumber","","","22453/BO"
2840505,"CompanyRegistrationNumber","United Kingdom","Companies House","07987341"
4794515,"CompanyRegistrationNumber","United Kingdom","Companies House","08287651"
5032333,"CompanyRegistrationNumber","United Kingdom","Companies House","08309096"
1716819,"CompanyRegistrationNumber","United Kingdom","Companies House","06334744"
15112483,"CompanyRegistrationNumber","United Kingdom","Companies House","08675962"
2829578,"CompanyRegistrationNumber","United Kingdom","Companies House","07976091"
4907047,"CompanyRegistrationNumber","United Kingdom","Companies House","08340413"
445338,"CompanyRegistrationNumber","United Kingdom","Companies House","00295576"
3038543,"CompanyRegistrationNumber","United Kingdom","Companies House","OC351328"
3844786,"CompanyRegistrationNumber","United Kingdom","Companies House","257009"
1583623,"CompanyRegistrationNumber","United Kingdom","Companies House","05977554"
11712498,"CompanyRegistrationNumber","United Kingdom","Companies House","08500087"
2098951,"CompanyRegistrationNumber","United Kingdom","Companies House","07089995"
11253776,"CompanyRegistrationNumber","United Kingdom","Companies House","OC383166"
1749947,"CompanyRegistrationNumber","United Kingdom","Companies House","06412976"
11735432,"CompanyRegistrationNumber","United Kingdom","Companies House","03045737"
5056602,"CompanyRegistrationNumber","United Kingdom","Companies House","04419211"
10764877,"CompanyRegistrationNumber","","","99 141 699 676"
2516623,"CompanyRegistrationNumber","United Kingdom","Companies House","07638395"
3331331,"CompanyRegistrationNumber","United Kingdom","Companies House","07630754"
2783591,"CompanyRegistrationNumber","United Kingdom","Companies House","07927685"
1576775,"CompanyRegistrationNumber","United Kingdom","Companies House","05958902"
1439735,"CompanyRegistrationNumber","United Kingdom","Companies House","05555668"
1464291,"CompanyRegistrationNumber","United Kingdom","Companies House","05632229"
2304023,"CompanyRegistrationNumber","United Kingdom","Companies House","07393283"
3058860,"CompanyRegistrationNumber","United Kingdom","Companies House","OC374414"
3307953,"CompanyRegistrationNumber","United Kingdom","Companies House","06088448"
1885470,"CompanyRegistrationNumber","United Kingdom","Companies House","06701737"
12150959,"CompanyRegistrationNumber","United Kingdom","Companies House","08541549"
2122553,"CompanyRegistrationNumber","United Kingdom","Companies House","07127938"
3499756,"CompanyRegistrationNumber","United Kingdom","Companies House","05865249"
816296,"CompanyRegistrationNumber","United Kingdom","Companies House","03304686"
12158729,"CompanyRegistrationNumber","United Kingdom","Companies House","08549553"
637974,"CompanyRegistrationNumber","United Kingdom","Companies House","02214036"
4463052,"CompanyRegistrationNumber","United Kingdom","Companies House","08185762"
2387419,"CompanyRegistrationNumber","United Kingdom","Companies House","07494398"
755326,"CompanyRegistrationNumber","United Kingdom","Companies House","02985309"
672870,"CompanyRegistrationNumber","United Kingdom","Companies House","02476427"
12166350,"CompanyRegistrationNumber","","","NI 03345"
12166350,"CompanyRegistrationNumber","United Kingdom","Companies House","NI050722"
3200296,"CompanyRegistrationNumber","United Kingdom","Companies House","SC415650"
4451089,"CompanyRegistrationNumber","United Kingdom","Companies House","08173295"
541218,"CompanyRegistrationNumber","United Kingdom","Companies House","01396814"
4744161,"CompanyRegistrationNumber","United Kingdom","Companies House","08270412"
4892534,"CompanyRegistrationNumber","United Kingdom","Companies House","08325345"
3368296,"CompanyRegistrationNumber","United Kingdom","Companies House","07322888"
5423647,"CompanyRegistrationNumber","","","441714"
4923221,"CompanyRegistrationNumber","United Kingdom","Companies House","07181656"
864963,"CompanyRegistrationNumber","United Kingdom","Companies House","03548543"
2333778,"CompanyRegistrationNumber","United Kingdom","Companies House","07432087"
15118460,"CompanyRegistrationNumber","United Kingdom","Companies House","08682138"
1601816,"CompanyRegistrationNumber","United Kingdom","Companies House","06024705"
3111079,"CompanyRegistrationNumber","United Kingdom","Companies House","SC261572"
4788030,"CompanyRegistrationNumber","United Kingdom","Companies House","08280925"
4748098,"CompanyRegistrationNumber","United Kingdom","Companies House","08274504"
2126831,"CompanyRegistrationNumber","United Kingdom","Companies House","07134838"
12139151,"CompanyRegistrationNumber","United Kingdom","Companies House","08529347"
5007655,"CompanyRegistrationNumber","United Kingdom","Companies House","08370452"
2483037,"CompanyRegistrationNumber","United Kingdom","Companies House","07601347"
15119316,"CompanyRegistrationNumber","United Kingdom","Companies House","08683005"
2143999,"CompanyRegistrationNumber","United Kingdom","Companies House","07161856"
3201104,"CompanyRegistrationNumber","United Kingdom","Companies House","SC416501"
2682147,"CompanyRegistrationNumber","United Kingdom","Companies House","07818821"
13944491,"CompanyRegistrationNumber","","","01-09-072706"
